query,expected_answer
"What is GST?","GST is a comprehensive, destination-based indirect tax levied on the supply of goods and services across India."
"What is input tax credit under GST?","Input tax credit means the credit of input tax paid by a registered person on any supply of goods or services to him, which he can use to pay his output tax."
"What is the charging section of CGST Act?","Section 9 of the CGST Act is the charging section, providing for the levy of Central Goods and Services Tax on all intra-State supplies."
"What constitutes income under the Income Tax Act?","Income includes profits, gains, dividends, voluntary contributions, and any capital gains chargeable under section 45."
"Are capital gains taxable?","Yes, any profits or gains arising from the transfer of a capital asset are chargeable to income tax under the head Capital gains."
"What deductions are available under Section 80C?","Section 80C allows a deduction up to Rs. 1.5 lakh for specified investments like life insurance premiums, PPF, and provident fund contributions."
"What is Article 14 of the Constitution?","Article 14 guarantees equality before the law and equal protection of the laws to all persons within the territory of India."
"What fundamental right does Article 21 protect?","Article 21 protects the right to life and personal liberty, stating no person shall be deprived of these except according to procedure established by law."
"Can fundamental rights be enforced?","Yes, under Article 32, individuals have the right to move the Supreme Court by appropriate proceedings for the enforcement of fundamental rights."
"Who is a consumer under the Consumer Protection Act?","A consumer is any person who buys goods or avails services for consideration, but does not include those obtaining them for commercial purposes."
"What are the rights of a consumer?","Consumer rights include protection against hazardous goods, the right to information, choice, representation, and the right to seek redressal against unfair trade practices."
"What is a valid contract?","A valid contract is an agreement made with the free consent of competent parties, for a lawful consideration and lawful object, and not expressly declared to be void."
"What is an agreement in restraint of trade?","Under Section 27 of the Indian Contract Act, every agreement by which anyone is restrained from exercising a lawful profession, trade, or business is void to that extent."
"What are damages for breach of contract?","Under Section 73, the party who suffers by a breach is entitled to receive compensation for any loss or damage that naturally arose in the usual course of things from such breach."
"What constitutes a company?","A company is a legal entity formed and registered under the Companies Act, 2013 or any previous company law."
"What is corporate social responsibility?","Section 135 requires certain qualifying companies to constitute a CSR Committee and spend at least 2% of average net profits on corporate social responsibility activities."
"What is culpable homicide?","Culpable homicide is the act of causing death with the intention of causing death, or with the intention of causing bodily injury likely to cause death, or with the knowledge that it is likely to cause death."
"What is the punishment for cheating under the IPC?","Under Section 420, whoever cheats and dishonestly induces delivery of property is punishable with imprisonment up to seven years and fine."
"What is an FIR?","An FIR (First Information Report) is the information relating to the commission of a cognizable offence given to an officer in charge of a police station under Section 154 of the CrPC."
"What is anticipatory bail?","Anticipatory bail is a direction under Section 438 CrPC granting bail to a person apprehending arrest on accusation of having committed a non-bailable offence."
"What is retrenchment under the Industrial Disputes Act?","Retrenchment means the termination of a workman's service for any reason other than as a punishment inflicted by disciplinary action, excluding voluntary retirement."
"What is the purpose of the Minimum Wages Act?","The Act provides for fixing minimum rates of wages in certain employments to prevent exploitation of labor."
"What is the Right to Information?","The RTI Act provides the right to access information held by or under the control of any public authority, subject to certain exemptions like national security."
