document_id,status,chunks_embedded,duration_seconds,error_message
ACT-01,SKIPPED,0,0.78,
ACT-03,SKIPPED,0,1.09,
ACT-02,SKIPPED,0,1.09,
ACT-04,SKIPPED,0,1.55,
ACT-05,SKIPPED,0,0.91,
ACT-06,SUCCESS,412,8.12,
ACT-08,SUCCESS,486,8.3,
ACT-10,SUCCESS,124,1.84,
ACT-12,SUCCESS,155,1.58,
ACT-11,SUCCESS,282,4.0,
ACT-14,SUCCESS,96,1.19,
ACT-15,SUCCESS,191,1.99,
ACT-13,SUCCESS,536,8.73,
ACT-17,SUCCESS,73,1.91,
ACT-18,SUCCESS,73,1.72,
ACT-19,SUCCESS,23,0.81,
ACT-09,SUCCESS,1538,27.2,
JUDG-01,SUCCESS,14,0.11,
JUDG-02,SUCCESS,7,0.06,
JUDG-03,SUCCESS,68,0.56,
JUDG-04,SUCCESS,13,0.11,
JUDG-05,SUCCESS,29,0.19,
JUDG-06,SUCCESS,9,0.08,
JUDG-07,SUCCESS,9,0.09,
ACT-20,SUCCESS,428,4.44,
JUDG-08,SUCCESS,42,0.33,
JUDG-10,SUCCESS,1,0.03,
JUDG-11,SUCCESS,1,0.05,
JUDG-12,SUCCESS,7,0.06,
JUDG-13,SUCCESS,6,0.06,
JUDG-09,SUCCESS,75,0.39,
JUDG-14,SUCCESS,6,0.11,
JUDG-16,SUCCESS,6,0.08,
JUDG-15,SUCCESS,35,0.22,
JUDG-17,SUCCESS,6,0.05,
JUDG-19,SUCCESS,6,0.09,
JUDG-18,SUCCESS,36,0.27,
JUDG-21,SUCCESS,9,0.06,
JUDG-20,SUCCESS,45,0.27,
JUDG-23,SUCCESS,19,0.16,
JUDG-24,SUCCESS,3,0.03,
JUDG-22,SUCCESS,40,0.26,
IRS-01,SUCCESS,15,0.17,
JUDG-25,SUCCESS,53,0.33,
IRS-03,SUCCESS,85,0.67,
IRS-04,SUCCESS,96,0.67,
IRS-02,SUCCESS,212,1.69,
ACT-16,SUCCESS,2072,22.34,
IRS-06,SUCCESS,834,7.34,
IRS-07,SUCCESS,211,1.76,
IRS-05,SUCCESS,1040,8.8,
IRS-08,SUCCESS,173,1.53,
IRS-10,SUCCESS,105,0.89,
IRS-09,SUCCESS,193,1.78,
IRS-12,SUCCESS,91,0.74,
IRS-14,SUCCESS,82,0.44,
IRS-15,SUCCESS,78,0.44,
IRS-11,SUCCESS,290,2.33,
IRS-16,SUCCESS,43,0.45,
IRS-13,SUCCESS,296,2.3,
IRS-18,SUCCESS,79,0.61,
IRS-19,SUCCESS,85,0.64,
IRS-17,SUCCESS,210,1.94,
IRS-20,SUCCESS,184,1.59,
IRS-22,SUCCESS,75,0.56,
IRS-23,SUCCESS,55,0.61,
IRS-24,SUCCESS,153,1.61,
COM-01,SUCCESS,24,0.27,
IRS-21,SUCCESS,331,3.05,
COM-03,SUCCESS,5,0.2,
COM-04,SUCCESS,5,0.09,
COM-05,SUCCESS,29,0.8,
COM-06,SUCCESS,7,0.11,
COM-07,SUCCESS,4,0.08,
IRS-25,SUCCESS,281,2.62,
COM-08,SUCCESS,4,0.09,
COM-10,SUCCESS,2,0.08,
COM-09,SUCCESS,12,0.17,
COM-11,SUCCESS,4,0.08,
COM-13,SUCCESS,5,0.09,
COM-12,SUCCESS,16,0.19,
COM-14,SUCCESS,5,0.08,
COM-15,SUCCESS,1,0.08,
COM-02,SUCCESS,367,5.38,
REG-03,SUCCESS,1534,14.42,
REG-01,SUCCESS,1726,20.0,
REG-02,SUCCESS,1827,22.51,
REG-04,SUCCESS,2302,23.62,
REG-07,SUCCESS,112,0.78,
REG-06,SUCCESS,2265,20.0,
REG-05,SUCCESS,2755,29.66,
REG-08,SUCCESS,1669,16.67,
REG-11,SUCCESS,185,1.08,
REG-09,SUCCESS,1819,17.75,
ACT-07,SUCCESS,10831,120.95,
REG-10,SUCCESS,2390,28.11,
REG-12,SUCCESS,1541,19.75,
REG-13,SUCCESS,2291,25.41,
REG-14,SUCCESS,2631,18.2,
REG-15,SUCCESS,2330,12.27,
