document_id,status,pages_processed,warnings,error_message,duration_seconds
ACT-05,SUCCESS,66,,,0.14
ACT-01,SUCCESS,186,,,0.36
ACT-10,SUCCESS,59,,,0.12
ACT-06,SUCCESS,207,,,0.5
ACT-08,SUCCESS,274,,,0.56
ACT-03,SUCCESS,335,,,0.69
ACT-12,SUCCESS,114,,,0.25
ACT-14,SUCCESS,57,,,0.12
ACT-11,SUCCESS,169,,,0.38
ACT-17,SUCCESS,48,,,0.09
ACT-15,SUCCESS,132,,,0.26
ACT-19,SUCCESS,18,,,0.03
ACT-13,SUCCESS,317,,,0.61
JUDG-01,SUCCESS,8,,,0.03
JUDG-02,SUCCESS,6,,,0.03
JUDG-03,SUCCESS,50,,,0.22
JUDG-04,SUCCESS,6,,,0.03
ACT-20,SUCCESS,243,,,0.48
JUDG-06,SUCCESS,5,,,0.02
JUDG-05,SUCCESS,12,,,0.05
JUDG-07,SUCCESS,11,,,0.05
ACT-04,SUCCESS,849,,,1.67
JUDG-08,SUCCESS,22,,,0.09
JUDG-10,SUCCESS,4,,,0.02
JUDG-11,SUCCESS,4,,,0.02
ACT-09,SUCCESS,716,,,1.53
JUDG-13,SUCCESS,4,,,0.01
JUDG-12,SUCCESS,5,,,0.01
JUDG-14,SUCCESS,6,,,0.03
JUDG-16,SUCCESS,6,,,0.03
JUDG-09,SUCCESS,30,,,0.12
JUDG-15,SUCCESS,12,,,0.05
JUDG-19,SUCCESS,4,,,0.03
JUDG-17,SUCCESS,11,,,0.06
JUDG-21,SUCCESS,9,,,0.01
ACT-02,SUCCESS,906,,,1.81
JUDG-18,SUCCESS,21,,,0.09
JUDG-24,SUCCESS,7,,,0.03
JUDG-22,SUCCESS,19,,,0.08
JUDG-23,SUCCESS,16,,,0.08
JUDG-20,SUCCESS,21,,,0.11
IRS-01,SUCCESS,2,,,0.05
JUDG-25,SUCCESS,28,,,0.11
ACT-18,WARNING,64,"Page 2: PyMuPDF extraction failed or yielded 0 characters. Used pdfplumber fallback.; Page 4: PyMuPDF extraction failed or yielded 0 characters. Used pdfplumber fallback.; Page 64: PyMuPDF extraction failed or yielded 0 characters. Used pdfplumber fallback.; Empty text (0 chars) on 3 pages: [2, 4, 64]",,1.09
IRS-03,SUCCESS,28,,,0.17
IRS-04,SUCCESS,36,,,0.19
IRS-02,SUCCESS,59,,,0.27
IRS-09,SUCCESS,31,,,0.2
IRS-10,SUCCESS,27,,,0.14
IRS-07,SUCCESS,57,,,0.28
IRS-08,SUCCESS,62,,,0.3
IRS-12,SUCCESS,27,,,0.14
IRS-15,SUCCESS,18,,,0.09
IRS-14,SUCCESS,40,,,0.19
IRS-11,SUCCESS,48,,,0.28
IRS-16,SUCCESS,18,,,0.11
IRS-13,SUCCESS,42,,,0.31
IRS-06,SUCCESS,99,,,0.7
ACT-16,SUCCESS,888,,,1.88
IRS-18,SUCCESS,33,,,0.16
IRS-19,SUCCESS,27,,,0.12
IRS-23,SUCCESS,23,,,0.11
IRS-22,SUCCESS,23,,,0.14
IRS-17,SUCCESS,62,,,0.3
IRS-20,SUCCESS,64,,,0.31
IRS-05,SUCCESS,142,,,1.11
IRS-24,SUCCESS,71,,,0.36
IRS-25,SUCCESS,81,,,0.41
IRS-21,SUCCESS,117,,,0.58
REG-07,SUCCESS,44,,,0.14
REG-01,SUCCESS,685,,,2.19
REG-03,SUCCESS,630,,,2.12
REG-02,SUCCESS,741,,,2.31
REG-11,SUCCESS,76,,,0.22
REG-08,SUCCESS,766,,,2.31
REG-04,SUCCESS,944,,,2.89
REG-06,SUCCESS,859,,,2.7
REG-05,SUCCESS,1179,,,3.67
COM-01,SUCCESS,9,,,0.03
COM-02,SUCCESS,226,,,0.5
REG-09,SUCCESS,720,,,2.33
COM-03,SUCCESS,5,,,0.03
COM-04,SUCCESS,3,,,0.02
REG-12,SUCCESS,644,,,1.98
COM-06,SUCCESS,5,,,0.01
COM-05,SUCCESS,11,,,0.03
COM-07,SUCCESS,4,,,0.03
COM-08,SUCCESS,5,,,0.03
COM-10,SUCCESS,2,,,0.0
COM-09,SUCCESS,7,,,0.03
COM-11,SUCCESS,5,,,0.01
COM-12,SUCCESS,6,,,0.03
COM-13,SUCCESS,4,,,0.02
COM-14,SUCCESS,5,,,0.03
COM-15,SUCCESS,1,,,0.02
REG-10,SUCCESS,950,,,2.94
REG-13,SUCCESS,961,,,2.75
REG-15,SUCCESS,950,,,2.69
REG-14,SUCCESS,1107,,,3.03
ACT-07,SUCCESS,4215,,,13.41
